comment,clean_comment,sentiment,score
"When tomorrow comes, I&#39;ll be on my own<br>Feeling frightened of the things that I don&#39;t know<br>When tomorrow comes, tomorrow comes, tomorrow comes.<br>And though the road is long, <br>I look up to the sky,<br> and in the dark I found s&#39;hope that I won&#39;t fly<br>And I sing along, I sing along, then I sing along<br><br>I got all I need when I got you and I<br>I look around me and say sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight<br>You&#39;re getting me, getting me through the night<br>Can&#39;t stop my heart when you shine it in my eyes,<br>Can&#39;t lie it&#39;s a sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight you&#39;re getting me, getting me through the night <br>Cause you&#39;re my flashlight, you&#39;re my flashlight, you&#39;re my flashlight (ooh)<br><br>I see the shadow&#39;s long beneath the mountain top,<br>I&#39;m not afraid when the rain won&#39;t stop,<br>Cause you light the way, you light the way, you light the way<br><br>I got all I need when I got you and I<br>I look around me and say sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight<br>You&#39;re getting me, getting me through the night<br>Can&#39;t stop my heart when you shine it in my eyes,<br>Can&#39;t lie it&#39;s a sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight you&#39;re getting me, getting me through the night<br><br>Light light light you&#39;re my flash<br>Light light light you&#39;re my flash<br>Light light light light light <br>Oooh you&#39;re my flash OooohWoah!<br><br>I got all I need when I got you and I<br>I look around me and say sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight<br>You&#39;re getting me, getting me through the night<br>Can&#39;t stop my heart when you shine it in my eyes,<br>Can&#39;t lie it&#39;s a sweet life<br>I&#39;m stuck in the dark but you&#39;re my flashlight you&#39;re getting me, getting me through the night<br>Cause you&#39;re my flashlight<br>Cause you&#39;re my flashlight <br>You&#39;re my flashlight <br><br>Woooo woooo woooooo<br>Oooh oh oh<br><br>You&#39;re my flash light light light <br>You&#39;re my flash light light light <br>Yeah yeah<br>You&#39;re my 🔦",when tomorrow comes ill be on my ownfeeling frightened of the things that i dont knowwhen tomorrow comes tomorrow comes tomorrow comesand though the road is long i look up to the sky and in the dark i found shope that i wont flyand i sing along i sing along then i sing alongi got all i need when i got you and ii look around me and say sweet lifeim stuck in the dark but youre my flashlightyoure getting me getting me through the nightcant stop my heart when you shine it in my eyescant lie its a sweet lifeim stuck in the dark but youre my flashlight youre getting me getting me through the night cause youre my flashlight youre my flashlight youre my flashlight oohi see the shadows long beneath the mountain topim not afraid when the rain wont stopcause you light the way you light the way you light the wayi got all i need when i got you and ii look around me and say sweet lifeim stuck in the dark but youre my flashlightyoure getting me getting me through the nightcant stop my heart when you shine it in my eyescant lie its a sweet lifeim stuck in the dark but youre my flashlight youre getting me getting me through the nightlight light light youre my flashlight light light youre my flashlight light light light light oooh youre my flash oooohwoahi got all i need when i got you and ii look around me and say sweet lifeim stuck in the dark but youre my flashlightyoure getting me getting me through the nightcant stop my heart when you shine it in my eyescant lie its a sweet lifeim stuck in the dark but youre my flashlight youre getting me getting me through the nightcause youre my flashlightcause youre my flashlight youre my flashlight woooo woooo woooooooooh oh ohyoure my flash light light light youre my flash light light light yeah yeahyoure my ,Neutral,0
2026 anyone, anyone,Neutral,0
I dedicate this song to my daughter always shes my light always,i dedicate this song to my daughter always shes my light always,Neutral,0
This is my wedding song,this is my wedding song,Neutral,0
2026 anyone ❤🎉, anyone ,Neutral,0
❤❤❤,,Neutral,0
2026 🇧🇷, ,Neutral,0
2026?❤,,Neutral,0
4 de abril 2026, de abril ,Neutral,0
좋은노래네 👍, ,Neutral,0
